No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
78,Health Management and Social Care,,Total,Percentage,,,93.5,0.7%,2.1%,4.7%,19.0%,46.7%,80.0%,92.7%,7.3%
79,History,,Male,Number,2659,2470,,40,126,317,1029,1780,2281,2412,58
80,History,,Male,Percentage,,,71.8,1.6%,5.1%,12.8%,41.7%,72.1%,92.3%,97.7%,2.3%
81,History,,Female,Number,3083,2935,,41,156,379,1336,2267,2769,2899,36
82,History,,Female,Percentage,,,60.9,1.4%,5.3%,12.9%,45.5%,77.2%,94.3%,98.8%,1.2%
83,History,,Total,Number,5742,5405,,81,282,696,2365,4047,5050,5311,94
84,History,,Total,Percentage,,,65.8,1.5%,5.2%,12.9%,43.8%,74.9%,93.4%,98.3%,1.7%
85,Information and Communication Technology,,Male,Number,4976,4718,,77,281,673,1662,2913,4049,4461,257
86,Information and Communication Technology,,Male,Percentage,,,57.5,1.6%,6.0%,14.3%,35.2%,61.7%,85.8%,94.6%,5.4%
87,Information and Communication Technology,,Female,Number,1640,1562,,10,42,141,449,867,1328,1484,78
88,Information and Communication Technology,,Female,Percentage,,,43.5,0.6%,2.7%,9.0%,28.7%,55.5%,85.0%,95.0%,5.0%
89,Information and Communication Technology,,Total,Number,6616,6280,,87,323,814,2111,3780,5377,5945,335
90,Information and Communication Technology,,Total,Percentage,,,54.0,1.4%,5.1%,13.0%,33.6%,60.2%,85.6%,94.7%,5.3%
91,Literature in English,,Male,Number,28,23,,0,0,1,4,11,18,19,4
92,Literature in English,,Male,Percentage,,,-,0.0%,0.0%,4.3%,17.4%,47.8%,78.3%,82.6%,17.4%
93,Literature in English,,Female,Number,194,181,,6,19,47,102,157,171,175,6
94,Literature in English,,Female,Percentage,,,-,3.3%,10.5%,26.0%,56.4%,86.7%,94.5%,96.7%,3.3%
95,Literature in English,,Total,Number,222,204,,6,19,48,106,168,189,194,10
96,Literature in English,,Total,Percentage,,,-,2.9%,9.3%,23.5%,52.0%,82.4%,92.6%,95.1%,4.9%
97,Mathematics,Compulsory Part,Male,Number,26908,25841,,655,2357,5049,11239,16268,21539,23795,2046
98,Mathematics,Compulsory Part,Male,Percentage,,,45.9,2.5%,9.1%,19.5%,43.5%,63.0%,83.4%,92.1%,7.9%
99,Mathematics,Compulsory Part,Female,Number,24422,23654,,176,956,2744,8536,14079,19744,21953,1701
100,Mathematics,Compulsory Part,Female,Percentage,,,40.3,0.7%,4.0%,11.6%,36.1%,59.5%,83.5%,92.8%,7.2%
101,Mathematics,Compulsory Part,Total,Number,51330,49495,,831,3313,7793,19775,30347,41283,45748,3747
102,Mathematics,Compulsory Part,Total,Percentage,,,43.2,1.7%,6.7%,15.7%,40.0%,61.3%,83.4%,92.4%,7.6%
103,Mathematics,Extended Part (Calculus and Statistics),Male,Number,2105,1914,,84,257,586,1011,1362,1676,1814,100
104,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,26.8,4.4%,13.4%,30.6%,52.8%,71.2%,87.6%,94.8%,5.2%
105,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1423,1313,,31,134,357,632,912,1127,1240,73
106,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,18.7,2.4%,10.2%,27.2%,48.1%,69.5%,85.8%,94.4%,5.6%
107,Mathematics,Extended Part (Calculus and Statistics),Total,Number,3528,3227,,115,391,943,1643,2274,2803,3054,173
108,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,23.5,3.6%,12.1%,29.2%,50.9%,70.5%,86.9%,94.6%,5.4%
109,Mathematics,Extended Part (Algebra and Calculus),Male,Number,5267,4857,,191,818,1831,2996,3932,4485,4726,131
110,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,24.2,3.9%,16.8%,37.7%,61.7%,81.0%,92.3%,97.3%,2.7%
111,Mathematics,Extended Part (Algebra and Calculus),Female,Number,2133,1983,,37,154,505,1030,1496,1801,1934,49
112,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,26.3,1.9%,7.8%,25.5%,51.9%,75.4%,90.8%,97.5%,2.5%
113,Mathematics,Extended Part (Algebra and Calculus),Total,Number,7400,6840,,228,972,2336,4026,5428,6286,6660,180
114,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,24.8,3.3%,14.2%,34.2%,58.9%,79.4%,91.9%,97.4%,2.6%
115,Music,,Male,Number,91,90,,5,18,34,68,77,88,90,0
116,Music,,Male,Percentage,,,3.3,5.6%,20.0%,37.8%,75.6%,85.6%,97.8%,100.0%,0.0%
117,Music,,Female,Number,92,90,,0,2,14,43,70,89,90,0
118,Music,,Female,Percentage,,,10.0,0.0%,2.2%,15.6%,47.8%,77.8%,98.9%,100.0%,0.0%
119,Music,,Total,Number,183,180,,5,20,48,111,147,177,180,0
120,Music,,Total,Percentage,,,6.7,2.8%,11.1%,26.7%,61.7%,81.7%,98.3%,100.0%,0.0%
121,Physical Education,,Male,Number,1068,1031,,2,11,30,142,436,725,918,113
122,Physical Education,,Male,Percentage,,,89.9,0.2%,1.1%,2.9%,13.8%,42.3%,70.3%,89.0%,11.0%
